2025-02-01 02:44:16 - INFO - Testando: circuit_type1 - SPSAOptimizer - 2 camadas
2025-02-01 02:44:58 - INFO - Fold: 1 | Iter:    54 | Cost: 0.7051125 | Best Cost: 0.5489348
2025-02-01 02:44:59 - INFO - Fold: 1 | Iter:    55 | Cost: 0.6424976 | Best Cost: 0.5489348
2025-02-01 02:44:59 - INFO - Fold: 1 | Iter:    56 | Cost: 0.6449267 | Best Cost: 0.5489348
2025-02-01 02:45:00 - INFO - Fold: 1 | Iter:    57 | Cost: 0.7024738 | Best Cost: 0.5489348
2025-02-01 02:45:01 - INFO - Fold: 1 | Iter:    58 | Cost: 0.6043292 | Best Cost: 0.5489348
2025-02-01 02:45:02 - INFO - Fold: 1 | Iter:    59 | Cost: 0.5828564 | Best Cost: 0.5489348
2025-02-01 02:45:02 - INFO - Fold: 1 | Iter:    60 | Cost: 0.6329201 | Best Cost: 0.5489348
2025-02-01 02:45:03 - INFO - Fold: 1 | Iter:    61 | Cost: 0.6456052 | Best Cost: 0.5489348
2025-02-01 02:45:04 - INFO - Fold: 1 | Iter:    62 | Cost: 0.6842274 | Best Cost: 0.5489348
2025-02-01 02:45:05 - INFO - Fold: 1 | Iter:    63 | Cost: 0.6440085 | Best Cost: 0.5489348
2025-02-01 02:45:05 - INFO - Fold: 1 | Iter:    64 | Cost: 0.6583403 | Best Cost: 0.5489348
2025-02-01 02:45:06 - INFO - Fold: 1 | Iter:    65 | Cost: 0.6637539 | Best Cost: 0.5489348
2025-02-01 02:45:07 - INFO - Fold: 1 | Iter:    66 | Cost: 0.6447656 | Best Cost: 0.5489348
2025-02-01 02:45:08 - INFO - Fold: 1 | Iter:    67 | Cost: 0.6378329 | Best Cost: 0.5489348
2025-02-01 02:45:08 - INFO - Fold: 1 | Iter:    68 | Cost: 0.6629652 | Best Cost: 0.5489348
2025-02-01 02:45:09 - INFO - Fold: 1 | Iter:    69 | Cost: 0.6361657 | Best Cost: 0.5489348
2025-02-01 02:45:10 - INFO - Fold: 1 | Iter:    70 | Cost: 0.6274888 | Best Cost: 0.5489348
2025-02-01 02:45:11 - INFO - Fold: 1 | Iter:    71 | Cost: 0.6578487 | Best Cost: 0.5489348
2025-02-01 02:45:12 - INFO - Fold: 1 | Iter:    72 | Cost: 0.6769513 | Best Cost: 0.5489348
2025-02-01 02:45:12 - INFO - Fold: 1 | Iter:    73 | Cost: 0.6156961 | Best Cost: 0.5489348
2025-02-01 02:45:13 - INFO - Fold: 1 | Iter:    74 | Cost: 0.6801469 | Best Cost: 0.5489348
2025-02-01 02:45:14 - INFO - Fold: 1 | Iter:    75 | Cost: 0.6215416 | Best Cost: 0.5489348
2025-02-01 02:45:15 - INFO - Fold: 1 | Iter:    76 | Cost: 0.5879614 | Best Cost: 0.5489348
2025-02-01 02:45:15 - INFO - Fold: 1 | Iter:    77 | Cost: 0.6051390 | Best Cost: 0.5489348
2025-02-01 02:45:16 - INFO - Fold: 1 | Iter:    78 | Cost: 0.5982503 | Best Cost: 0.5489348
2025-02-01 02:45:17 - INFO - Fold: 1 | Iter:    79 | Cost: 0.6208288 | Best Cost: 0.5489348
2025-02-01 02:45:18 - INFO - Fold: 1 | Iter:    80 | Cost: 0.6393485 | Best Cost: 0.5489348
2025-02-01 02:45:18 - INFO - Fold: 1 | Iter:    81 | Cost: 0.6962689 | Best Cost: 0.5489348
2025-02-01 02:45:19 - INFO - Fold: 1 | Iter:    82 | Cost: 0.6401516 | Best Cost: 0.5489348
2025-02-01 02:45:20 - INFO - Fold: 1 | Iter:    83 | Cost: 0.6608992 | Best Cost: 0.5489348
2025-02-01 02:45:21 - INFO - Fold: 1 | Iter:    84 | Cost: 0.6326822 | Best Cost: 0.5489348
2025-02-01 02:45:22 - INFO - Fold: 1 | Iter:    85 | Cost: 0.6687860 | Best Cost: 0.5489348
2025-02-01 02:45:22 - INFO - Fold: 1 | Iter:    86 | Cost: 0.6567443 | Best Cost: 0.5489348
2025-02-01 02:45:23 - INFO - Fold: 1 | Iter:    87 | Cost: 0.5477249 | Best Cost: 0.5477249
2025-02-01 02:45:24 - INFO - Fold: 1 | Iter:    88 | Cost: 0.6212653 | Best Cost: 0.5477249
2025-02-01 02:45:25 - INFO - Fold: 1 | Iter:    89 | Cost: 0.6728541 | Best Cost: 0.5477249
2025-02-01 02:45:25 - INFO - Fold: 1 | Iter:    90 | Cost: 0.6334601 | Best Cost: 0.5477249
